make, model, description,serial_range_start, serial_range_end, month, year
"Collings","","","19437","21052","","2012"
"Collings","","","18054","19436","","2011"
"Collings","","","16784","18053","","2010"
"Collings","","","15809","16783","","2009"
"Collings","","","14249","15808","","2008"
"Collings","","","13001","14248","","2007"
"Collings","","","11730","13000","","2006"
"Collings","","","10626","11729","","2005"
"Collings","","","9447","10625","","2004"
"Collings","","","8389","9446","","2003"
"Collings","","","7561","8388","","2002"
"Collings","","","6530","7560","","2001"
"Collings","","","5644","6529","","2000"
"Collings","","","4766","5643","","1999"
"Collings","","","3941","4765","","1998"
"Collings","","","3031","3940","","1997"
"Collings","","","2352","3030","","1996"
"Collings","","","1679","2351","","1995"
"Collings","","","1197","1678","","1994"
"Collings","","","555","1203","","1993"
